psk_run,psk_hex,link_token,config,k,hidden_bytes,pad_bytes,n_segments,g_bytes,chosen_indices,entropy_delta_pct_mean,entropy_delta_pct_stdev,gzip_ratio_delta_pct_mean,gzip_ratio_delta_pct_stdev,modified_ratio_mean,modified_ratio_max,ks_mean,chi2_homogeneity_p_min
psk03,42a15418139ebf90e6528cc1fbce8e3bfd24dc9ba1b01a624286077f29268acb,token-c20e1f4f1007183f5ebdfd25,k3_h1024_pad0,3,1024,0,6,352,"[0, 2, 5]",0.06585580451898448,0.022871517175167902,0.08482991197906159,0.026914598968604188,5.094761714793237e-05,6.0452361562444816e-05,5.021140027422488e-05,1.0
psk03,42a15418139ebf90e6528cc1fbce8e3bfd24dc9ba1b01a624286077f29268acb,token-c20e1f4f1007183f5ebdfd25,k3_h4096_pad0,3,4096,0,6,1376,"[1, 2, 5]",0.24645962156185294,0.0857409186875103,0.31497228140083705,0.10627087673712722,0.0001926679851158434,0.0002286318197511537,0.00018814358217533744,1.0
psk03,42a15418139ebf90e6528cc1fbce8e3bfd24dc9ba1b01a624286077f29268acb,token-c20e1f4f1007183f5ebdfd25,k3_h65536_pad0,3,65536,0,6,21856,"[1, 4, 5]",3.7527753306033773,1.3113302447086594,4.651625174542677,1.6056727671203193,0.003028143726379716,0.003589680426230091,0.002871314083493596,3.8003822971468797e-64
