mode,segments_glob,segments_limit,hidden_bytes,repeat,rc,runner_elapsed_s,segments,segments_bytes,concurrency,duration_s,elapsed_s,sent_ok,sent_err,post_qps,recv_count,unique_msg_ids,dup_count,e2e_ms_p50,p95,p99,throughput_avg_Bps,window_Bps,window_s,expected_unique,got_unique,loss,loss_rate,raw_preview
embed-hls,.\hls_seg*.ts,9,4096,3,0,34.716,9,71489256,1,5.000,34.357,9,0,0.262,9,9,0,17494.0,27907.0,27907.0,1079.5045242906087,1638.4,5.0,9,9,0,0.0000,segments=9 segments_bytes=71489256 hidden_bytes=4096\nconcurrency=1 duration_s=5.000 elapsed_s=34.357\nsent_ok=9 sent_err=0 post_qps=0.262\n--- C stats (/stats) ---\nrecv_count=9 unique_msg_ids=9 dup_count=0\ne2e_ms_p50=17494.0 p95=27907.0 p99=27907.0\nthroughput_avg_Bps=1079.5045242906087 window_Bps=1638.4 window_s=5.0\n--- final loss (drained) ---\nexpected_unique=9 got_unique=9 loss=0 loss_rate=0.0000\n
embed-hls,.\hls_seg*.ts,18,4096,1,0,36.993,18,132625728,1,5.000,36.551,5,0,0.137,5,5,0,21169.0,30429.0,30429.0,563.8611271716087,1638.4,5.0,5,5,0,0.0000,egments=18 segments_bytes=132625728 hidden_bytes=4096\nconcurrency=1 duration_s=5.000 elapsed_s=36.551\nsent_ok=5 sent_err=0 post_qps=0.137\n--- C stats (/stats) ---\nrecv_count=5 unique_msg_ids=5 dup_count=0\ne2e_ms_p50=21169.0 p95=30429.0 p99=30429.0\nthroughput_avg_Bps=563.8611271716087 window_Bps=1638.4 window_s=5.0\n--- final loss (drained) ---\nexpected_unique=5 got_unique=5 loss=0 loss_rate=0.0000\n
embed-hls,.\hls_seg*.ts,18,4096,2,0,30.041,18,132625728,1,5.000,29.636,4,0,0.135,4,4,0,14260.0,23998.0,23998.0,556.9757954854501,819.2,5.0,4,4,0,0.0000,segments=18 segments_bytes=132625728 hidden_bytes=4096\nconcurrency=1 duration_s=5.000 elapsed_s=29.636\nsent_ok=4 sent_err=0 post_qps=0.135\n--- C stats (/stats) ---\nrecv_count=4 unique_msg_ids=4 dup_count=0\ne2e_ms_p50=14260.0 p95=23998.0 p99=23998.0\nthroughput_avg_Bps=556.9757954854501 window_Bps=819.2 window_s=5.0\n--- final loss (drained) ---\nexpected_unique=4 got_unique=4 loss=0 loss_rate=0.0000\n
embed-hls,.\hls_seg*.ts,18,4096,3,0,36.246,18,132625728,1,5.000,35.810,5,0,0.140,5,5,0,19588.0,28731.0,28731.0,575.2647397545013,819.2,5.0,5,5,0,0.0000,segments=18 segments_bytes=132625728 hidden_bytes=4096\nconcurrency=1 duration_s=5.000 elapsed_s=35.810\nsent_ok=5 sent_err=0 post_qps=0.140\n--- C stats (/stats) ---\nrecv_count=5 unique_msg_ids=5 dup_count=0\ne2e_ms_p50=19588.0 p95=28731.0 p99=28731.0\nthroughput_avg_Bps=575.2647397545013 window_Bps=819.2 window_s=5.0\n--- final loss (drained) ---\nexpected_unique=5 got_unique=5 loss=0 loss_rate=0.0000\n
embed-hls,.\hls_seg*.ts,3,65536,1,0,29.018,3,22896144,1,5.000,28.683,23,0,0.802,23,23,0,13245.0,22763.0,23198.0,52925.84269662921,65536.0,5.0,23,23,0,0.0000,ts=3 segments_bytes=22896144 hidden_bytes=65536\nconcurrency=1 duration_s=5.000 elapsed_s=28.683\nsent_ok=23 sent_err=0 post_qps=0.802\n--- C stats (/stats) ---\nrecv_count=23 unique_msg_ids=23 dup_count=0\ne2e_ms_p50=13245.0 p95=22763.0 p99=23198.0\nthroughput_avg_Bps=52925.84269662921 window_Bps=65536.0 window_s=5.0\n--- final loss (drained) ---\nexpected_unique=23 got_unique=23 loss=0 loss_rate=0.0000\n
embed-hls,.\hls_seg*.ts,3,65536,2,0,28.933,3,22896144,1,5.000,28.601,23,0,0.804,23,23,0,12643.0,22434.0,23000.0,53086.144960202866,65536.0,5.0,23,23,0,0.0000,s=3 segments_bytes=22896144 hidden_bytes=65536\nconcurrency=1 duration_s=5.000 elapsed_s=28.601\nsent_ok=23 sent_err=0 post_qps=0.804\n--- C stats (/stats) ---\nrecv_count=23 unique_msg_ids=23 dup_count=0\ne2e_ms_p50=12643.0 p95=22434.0 p99=23000.0\nthroughput_avg_Bps=53086.144960202866 window_Bps=65536.0 window_s=5.0\n--- final loss (drained) ---\nexpected_unique=23 got_unique=23 loss=0 loss_rate=0.0000\n
embed-hls,.\hls_seg*.ts,3,65536,3,0,27.929,3,22896144,1,5.000,27.585,22,0,0.798,22,22,0,12020.0,21645.0,22052.0,52641.27934572274,65536.0,5.0,22,22,0,0.0000,ts=3 segments_bytes=22896144 hidden_bytes=65536\nconcurrency=1 duration_s=5.000 elapsed_s=27.585\nsent_ok=22 sent_err=0 post_qps=0.798\n--- C stats (/stats) ---\nrecv_count=22 unique_msg_ids=22 dup_count=0\ne2e_ms_p50=12020.0 p95=21645.0 p99=22052.0\nthroughput_avg_Bps=52641.27934572274 window_Bps=65536.0 window_s=5.0\n--- final loss (drained) ---\nexpected_unique=22 got_unique=22 loss=0 loss_rate=0.0000\n
embed-hls,.\hls_seg*.ts,9,65536,1,0,30.104,9,71489256,1,5.000,29.722,8,0,0.269,8,8,0,14127.0,24550.0,24550.0,17774.282130386142,26214.4,5.0,8,8,0,0.0000,gments=9 segments_bytes=71489256 hidden_bytes=65536\nconcurrency=1 duration_s=5.000 elapsed_s=29.722\nsent_ok=8 sent_err=0 post_qps=0.269\n--- C stats (/stats) ---\nrecv_count=8 unique_msg_ids=8 dup_count=0\ne2e_ms_p50=14127.0 p95=24550.0 p99=24550.0\nthroughput_avg_Bps=17774.282130386142 window_Bps=26214.4 window_s=5.0\n--- final loss (drained) ---\nexpected_unique=8 got_unique=8 loss=0 loss_rate=0.0000\n
embed-hls,.\hls_seg*.ts,9,65536,2,0,30.051,9,71489256,1,5.000,29.655,8,0,0.270,8,8,0,13743.0,24501.0,24501.0,17833.531752780706,26214.4,5.0,8,8,0,0.0000,gments=9 segments_bytes=71489256 hidden_bytes=65536\nconcurrency=1 duration_s=5.000 elapsed_s=29.655\nsent_ok=8 sent_err=0 post_qps=0.270\n--- C stats (/stats) ---\nrecv_count=8 unique_msg_ids=8 dup_count=0\ne2e_ms_p50=13743.0 p95=24501.0 p99=24501.0\nthroughput_avg_Bps=17833.531752780706 window_Bps=26214.4 window_s=5.0\n--- final loss (drained) ---\nexpected_unique=8 got_unique=8 loss=0 loss_rate=0.0000\n
embed-hls,.\hls_seg*.ts,9,65536,3,0,31.412,9,71489256,1,5.000,30.845,8,0,0.259,8,8,0,14535.0,25081.0,25081.0,17165.007857517023,26214.4,5.0,8,8,0,0.0000,gments=9 segments_bytes=71489256 hidden_bytes=65536\nconcurrency=1 duration_s=5.000 elapsed_s=30.845\nsent_ok=8 sent_err=0 post_qps=0.259\n--- C stats (/stats) ---\nrecv_count=8 unique_msg_ids=8 dup_count=0\ne2e_ms_p50=14535.0 p95=25081.0 p99=25081.0\nthroughput_avg_Bps=17165.007857517023 window_Bps=26214.4 window_s=5.0\n--- final loss (drained) ---\nexpected_unique=8 got_unique=8 loss=0 loss_rate=0.0000\n
embed-hls,.\hls_seg*.ts,18,65536,1,0,35.614,18,132625728,1,5.000,35.189,5,0,0.142,5,5,0,18898.0,29320.0,29320.0,9364.158545994913,13107.2,5.0,5,5,0,0.0000,ments=18 segments_bytes=132625728 hidden_bytes=65536\nconcurrency=1 duration_s=5.000 elapsed_s=35.189\nsent_ok=5 sent_err=0 post_qps=0.142\n--- C stats (/stats) ---\nrecv_count=5 unique_msg_ids=5 dup_count=0\ne2e_ms_p50=18898.0 p95=29320.0 p99=29320.0\nthroughput_avg_Bps=9364.158545994913 window_Bps=13107.2 window_s=5.0\n--- final loss (drained) ---\nexpected_unique=5 got_unique=5 loss=0 loss_rate=0.0000\n
embed-hls,.\hls_seg*.ts,18,65536,2,0,39.271,18,132625728,1,5.000,38.851,5,0,0.129,5,5,0,23048.0,32196.0,32196.0,8476.821192052981,13107.2,5.0,5,5,0,0.0000,ments=18 segments_bytes=132625728 hidden_bytes=65536\nconcurrency=1 duration_s=5.000 elapsed_s=38.851\nsent_ok=5 sent_err=0 post_qps=0.129\n--- C stats (/stats) ---\nrecv_count=5 unique_msg_ids=5 dup_count=0\ne2e_ms_p50=23048.0 p95=32196.0 p99=32196.0\nthroughput_avg_Bps=8476.821192052981 window_Bps=13107.2 window_s=5.0\n--- final loss (drained) ---\nexpected_unique=5 got_unique=5 loss=0 loss_rate=0.0000\n
embed-hls,.\hls_seg*.ts,18,65536,3,0,36.917,18,132625728,1,5.000,36.475,5,0,0.137,5,5,0,20900.0,29926.0,29926.0,9035.460210665638,13107.2,5.0,5,5,0,0.0000,ments=18 segments_bytes=132625728 hidden_bytes=65536\nconcurrency=1 duration_s=5.000 elapsed_s=36.475\nsent_ok=5 sent_err=0 post_qps=0.137\n--- C stats (/stats) ---\nrecv_count=5 unique_msg_ids=5 dup_count=0\ne2e_ms_p50=20900.0 p95=29926.0 p99=29926.0\nthroughput_avg_Bps=9035.460210665638 window_Bps=13107.2 window_s=5.0\n--- final loss (drained) ---\nexpected_unique=5 got_unique=5 loss=0 loss_rate=0.0000\n
