matrix,hidden_bytes,segments_limit,n_segments,pad_bytes,g_bytes,k,send_count,bench,rc,runner_elapsed_s,segments,segments_bytes,elapsed_s,sent_ok,sent_err,recv_count,unique_msg_ids,loss,loss_rate,e2e_ms_p50,p95,p99,e2e_ms,e2e_ms_p95,e2e_ms_p99
embed_hls_e2e_single,4096,12,12,0,0,1,1,bench_overlay_embed_hls_scheme_b.py,0,2.187,12,95797092,1.796,1,0,4,4,0,0.0000,50607.0,65631.0,65631.0,50607.0,65631.0,65631.0
embed_hls_e2e_single,4096,12,12,0,0,2,1,bench_overlay_embed_hls_scheme_b.py,0,2.182,12,95797092,1.774,1,0,1,1,0,0.0000,38124.0,38124.0,38124.0,38124.0,38124.0,38124.0
embed_hls_e2e_single,4096,12,12,0,0,3,1,bench_overlay_embed_hls_scheme_b.py,0,2.567,12,95797092,2.175,1,0,3,3,0,0.0000,66730.0,66833.0,66833.0,66730.0,66833.0,66833.0
embed_hls_e2e_single,4096,12,12,0,0,5,1,bench_overlay_embed_hls_scheme_b.py,0,3.441,12,95797092,3.032,1,0,1,1,0,0.0000,44193.0,44193.0,44193.0,44193.0,44193.0,44193.0
embed_hls_e2e_single,4096,15,15,0,0,1,1,bench_overlay_embed_hls_scheme_b.py,0,3.181,15,120095528,2.876,1,0,5,5,0,0.0000,55525.0,72167.0,72167.0,55525.0,72167.0,72167.0
embed_hls_e2e_single,4096,15,15,0,0,2,1,bench_overlay_embed_hls_scheme_b.py,0,5.660,15,120095528,5.173,1,0,2,2,0,0.0000,57952.0,75936.0,75936.0,57952.0,75936.0,75936.0
embed_hls_e2e_single,4096,15,15,0,0,3,1,bench_overlay_embed_hls_scheme_b.py,0,4.851,15,120095528,4.357,1,0,3,3,0,0.0000,75533.0,77521.0,77521.0,75533.0,77521.0,77521.0
embed_hls_e2e_single,4096,15,15,0,0,5,1,bench_overlay_embed_hls_scheme_b.py,0,4.309,15,120095528,3.330,1,0,1,1,0,0.0000,56675.0,56675.0,56675.0,56675.0,56675.0,56675.0
embed_hls_e2e_single,65536,6,6,0,0,1,1,bench_overlay_embed_hls_scheme_b.py,0,5.034,6,47190256,4.715,1,0,1,1,0,0.0000,61068.0,61068.0,61068.0,61068.0,61068.0,61068.0
embed_hls_e2e_single,65536,6,6,0,0,2,1,bench_overlay_embed_hls_scheme_b.py,0,3.335,6,47190256,2.956,1,0,1,1,0,0.0000,64031.0,64031.0,64031.0,64031.0,64031.0,64031.0
embed_hls_e2e_single,65536,6,6,0,0,3,1,bench_overlay_embed_hls_scheme_b.py,0,2.822,6,47190256,2.536,1,0,1,1,0,0.0000,83185.0,83185.0,83185.0,83185.0,83185.0,83185.0
embed_hls_e2e_single,65536,6,6,0,0,5,1,bench_overlay_embed_hls_scheme_b.py,0,1.167,6,47190256,0.858,1,0,1,1,0,0.0000,67300.0,67300.0,67300.0,67300.0,67300.0,67300.0
embed_hls_e2e_single,65536,9,9,0,0,1,1,bench_overlay_embed_hls_scheme_b.py,0,2.384,9,71489256,2.073,1,0,1,1,0,0.0000,67029.0,67029.0,67029.0,67029.0,67029.0,67029.0
embed_hls_e2e_single,65536,9,9,0,0,2,1,bench_overlay_embed_hls_scheme_b.py,0,1.948,9,71489256,1.493,1,0,4,4,0,0.0000,78305.0,86583.0,86583.0,78305.0,86583.0,86583.0
embed_hls_e2e_single,65536,9,9,0,0,3,1,bench_overlay_embed_hls_scheme_b.py,0,1.975,9,71489256,1.636,1,0,1,1,0,0.0000,71382.0,71382.0,71382.0,71382.0,71382.0,71382.0
embed_hls_e2e_single,65536,9,9,0,0,5,1,bench_overlay_embed_hls_scheme_b.py,0,1.893,9,71489256,1.621,1,0,1,1,0,0.0000,71908.0,71908.0,71908.0,71908.0,71908.0,71908.0
embed_hls_e2e_single,65536,12,12,0,0,1,1,bench_overlay_embed_hls_scheme_b.py,0,4.272,12,95797092,3.894,1,0,1,1,0,0.0000,76460.0,76460.0,76460.0,76460.0,76460.0,76460.0
embed_hls_e2e_single,65536,12,12,0,0,2,1,bench_overlay_embed_hls_scheme_b.py,0,1.948,12,95797092,1.640,1,0,2,2,0,0.0000,76006.0,94392.0,94392.0,76006.0,94392.0,94392.0
embed_hls_e2e_single,65536,12,12,0,0,3,1,bench_overlay_embed_hls_scheme_b.py,0,3.037,12,95797092,2.669,1,0,1,1,0,0.0000,77938.0,77938.0,77938.0,77938.0,77938.0,77938.0
embed_hls_e2e_single,65536,12,12,0,0,5,1,bench_overlay_embed_hls_scheme_b.py,0,2.988,12,95797092,2.201,1,0,3,3,0,0.0000,90719.0,97429.0,97429.0,90719.0,97429.0,97429.0
embed_hls_e2e_single,65536,15,15,0,0,1,1,bench_overlay_embed_hls_scheme_b.py,0,3.069,15,120095528,2.705,1,0,1,1,0,0.0000,81094.0,81094.0,81094.0,81094.0,81094.0,81094.0
embed_hls_e2e_single,65536,15,15,0,0,2,1,bench_overlay_embed_hls_scheme_b.py,0,5.873,15,120095528,5.486,1,0,1,1,0,0.0000,82345.0,82345.0,82345.0,82345.0,82345.0,82345.0
embed_hls_e2e_single,65536,15,15,0,0,3,1,bench_overlay_embed_hls_scheme_b.py,0,3.690,15,120095528,2.981,1,0,1,1,0,0.0000,81143.0,81143.0,81143.0,81143.0,81143.0,81143.0
embed_hls_e2e_single,65536,15,15,0,0,5,1,bench_overlay_embed_hls_scheme_b.py,0,3.351,15,120095528,2.977,1,0,4,4,0,0.0000,100947.0,110418.0,110418.0,100947.0,110418.0,110418.0
