hidden_bytes_B,segments_limit,mean_e2e_ms_p50_avg_k,mean_throughput_Bps_avg_k
1024,6,22360.1,803.39
1024,9,22367.0,531.84
1024,12,22468.8,401.34
1024,15,22707.6,318.69
4096,6,29352.5,2164.4
4096,9,26473.9,1505.66
4096,12,22862.8,1513.42
4096,15,28159.3,923.03
65536,6,24969.1,38625.57
65536,9,26922.6,21436.99
65536,12,22530.8,25141.5
65536,15,22810.4,20026.88
