k,hidden_bytes,pad_bytes,n_psk_runs,psk_runs,modified_ratio_pct_mean,modified_ratio_pct_max,delta_H_pct_mean,delta_H_pct_stdev_of_runs,chi2_homogeneity_p_min_across_psk,chi2_homogeneity_p_max_across_psk
3,1024,0,3,"psk01,psk02,psk03",0.005096472474208917,0.0060617081893677635,0.06242171306981042,0.003537119489232009,1.0,1.0
3,4096,0,3,"psk01,psk02,psk03",0.01927308234271334,0.022885495469330473,0.2432453267124273,0.00711006333595702,1.0,1.0
3,65536,0,3,"psk01,psk02,psk03",0.3028173611878348,0.35896804262300913,3.7882409268472643,0.03146417376437891,2.6111484677487134e-64,1.072133527438616e-63
