file_bytes,entropy_cover,entropy_stego,entropy_delta_pct,gzip_ratio_cover,gzip_ratio_stego,gzip_ratio_delta_pct,chi2_uniform_cover,chi2_uniform_stego,chi2_uniform_p_cover,chi2_uniform_p_stego,chi2_homogeneity_cover_vs_stego,chi2_homogeneity_p,ks_cover_vs_stego,ks_p,diff_variance,modified_ratio,window_n,window_entropy_delta_pct_mean,window_gzip_delta_pct_mean,window_modified_ratio_mean,config,filename,k,hidden_bytes,pad_bytes,psk_run,psk_hex
10754164,1.0149852888389481,1.0153817651743602,0.0390622740813908,0.06772548754138397,0.06776193853841173,0.053821682723931355,2309412432.935982,2309242817.3537874,0.0,0.0,0.17855009286739532,1.0,3.375436714558866e-05,1.0,0.7404830728701455,3.412631609486335e-05,57203,0.16186350392435825,0.02389152084098153,3.412631609486335e-05,k3_h1024_pad0,hls_seg000.ts,3,1024,0,psk01,32bd90f76be5237c778bcf7da3a4af14c9189ecba4758c147ebdbc8e6c7ffdcf
6070896,0.8450959938239815,0.8458229976373569,0.08602618148570332,0.05812403968046891,0.05818580980468122,0.10627293724229224,1345091383.973708,1344918624.8972175,0.0,0.0,0.37519305392900537,1.0,5.96287599062828e-05,1.0,1.2734527005904719,6.0617081893677636e-05,32292,0.3103860583868135,0.04243683792798124,6.0617081893677636e-05,k3_h1024_pad0,hls_seg001.ts,3,1024,0,psk01,32bd90f76be5237c778bcf7da3a4af14c9189ecba4758c147ebdbc8e6c7ffdcf
6071084,0.8162456976536696,0.8169261443526112,0.08336297525335801,0.055653158480429524,0.05571262067861357,0.10684424713281758,1352118008.176588,1351960083.1682565,0.0,0.0,0.45742954578359296,1.0,5.5014886962578835e-05,1.0,1.3401604883742009,6.028577433618115e-05,32293,0.05048532209394312,0.023030942611562227,6.028577433618114e-05,k3_h1024_pad0,hls_seg002.ts,3,1024,0,psk01,32bd90f76be5237c778bcf7da3a4af14c9189ecba4758c147ebdbc8e6c7ffdcf
12147432,0.9700838251581972,0.9700875260899187,0.00038150638382348844,0.06879100043531834,0.06879157668880138,0.0008376873128688889,2631517566.597956,2631516612.791643,0.0,0.0,0.12951823608201263,1.0,2.5519797096640318e-06,1.0,0.30348039952794054,3.021214689656217e-05,64614,-1.4782030173617162e-06,0.0,3.0212146896562166e-05,k3_h1024_pad0,hls_seg003.ts,3,1024,0,psk01,32bd90f76be5237c778bcf7da3a4af14c9189ecba4758c147ebdbc8e6c7ffdcf
6072964,0.983847138311365,0.9845552014694157,0.07196881817086949,0.0698976644682893,0.06996138952906686,0.09116908449276512,1312264451.1534579,1312094305.0097754,0.0,0.0,0.32455526230824916,1.0,5.960845478414356e-05,1.0,1.341698462169169,6.043177598286438e-05,32303,0.31184751861332555,0.04242238709625639,6.0431775982864375e-05,k3_h1024_pad0,hls_seg004.ts,3,1024,0,psk01,32bd90f76be5237c778bcf7da3a4af14c9189ecba4758c147ebdbc8e6c7ffdcf
6073716,0.9838627503892485,0.9845705158857261,0.07193742177936274,0.06990333430143919,0.06996655754072137,0.09044381060500699,1312419725.15648,1312249114.5951266,0.0,0.0,0.32752806699725207,1.0,5.960107453162333e-05,1.0,1.236452007688318,6.0588937645421684e-05,32307,0.3012460003262972,0.04230249378359695,6.058893764542169e-05,k3_h1024_pad0,hls_seg005.ts,3,1024,0,psk01,32bd90f76be5237c778bcf7da3a4af14c9189ecba4758c147ebdbc8e6c7ffdcf
10754164,1.0149852888389481,1.0164905703671967,0.1483057483493665,0.06772548754138397,0.06785957513759322,0.19798690430588448,2309412432.935982,2308769698.366309,0.0,0.0,1.7723560887926377,1.0,0.00012739251512250416,1.0,2.743142008971886,0.00012915927263151277,57203,0.6264560995076562,0.08928565647618841,0.0001291592726315128,k3_h4096_pad0,hls_seg000.ts,3,4096,0,psk01,32bd90f76be5237c778bcf7da3a4af14c9189ecba4758c147ebdbc8e6c7ffdcf
6070896,0.8450959938239815,0.8478424077025627,0.3249824752042595,0.05812403968046891,0.058361236957444176,0.4080880790103921,1345091383.973708,1344440476.922509,0.0,0.0,3.976990673405349,1.0,0.00022484325213278922,1.0,4.967202117860892,0.0002286318197511537,32292,1.0954014189606311,0.15632813539415794,0.0002286318197511537,k3_h4096_pad0,hls_seg001.ts,3,4096,0,psk01,32bd90f76be5237c778bcf7da3a4af14c9189ecba4758c147ebdbc8e6c7ffdcf
6071084,0.8162456976536696,0.8190034332968239,0.33785607092098746,0.055653158480429524,0.0558890306904006,0.4238253792082941,1352118008.176588,1351465421.2110984,0.0,0.0,4.17097970961534,1.0,0.00022467157430205997,1.0,5.069047236479471,0.00022862473983229354,32293,1.1011359366955649,0.15643798506957704,0.00022862473983229354,k3_h4096_pad0,hls_seg002.ts,3,4096,0,psk01,32bd90f76be5237c778bcf7da3a4af14c9189ecba4758c147ebdbc8e6c7ffdcf
12147432,0.9700838251581972,0.9706323567276444,0.05654475986728952,0.06879100043531834,0.06883882947441072,0.06952804696793621,2631517566.597956,2631255632.0532594,0.0,0.0,0.6169246854283011,1.0,4.610027864326849e-05,1.0,1.7124614799457853,0.00011409818964205768,64614,0.19219124980906718,0.02763778923600288,0.00011409818964205768,k3_h4096_pad0,hls_seg003.ts,3,4096,0,psk01,32bd90f76be5237c778bcf7da3a4af14c9189ecba4758c147ebdbc8e6c7ffdcf
