psk_run,psk_hex,link_token,config,k,hidden_bytes,pad_bytes,n_segments,g_bytes,chosen_indices,entropy_delta_pct_mean,entropy_delta_pct_stdev,gzip_ratio_delta_pct_mean,gzip_ratio_delta_pct_stdev,modified_ratio_mean,modified_ratio_max,ks_mean,chi2_homogeneity_p_min
psk01,32bd90f76be5237c778bcf7da3a4af14c9189ecba4758c147ebdbc8e6c7ffdcf,token-06e8f48ddd0c157a67aca010,k3_h1024_pad0,3,1024,0,6,352,"[0, 2, 5]",0.058789862859084635,0.033144869705182024,0.07489824158494703,0.04108652060141682,5.104367214159506e-05,6.0617081893677636e-05,4.502658717331354e-05,1.0
psk01,32bd90f76be5237c778bcf7da3a4af14c9189ecba4758c147ebdbc8e6c7ffdcf,token-06e8f48ddd0c157a67aca010,k3_h4096_pad0,3,4096,0,6,1376,"[1, 2, 5]",0.23509568495397318,0.11017675726884277,0.30121186290901353,0.13881706172312605,0.00019301460092378155,0.00022885495469330473,0.00017883452302615752,1.0
psk01,32bd90f76be5237c778bcf7da3a4af14c9189ecba4758c147ebdbc8e6c7ffdcf,token-06e8f48ddd0c157a67aca010,k3_h65536_pad0,3,65536,0,6,21856,"[1, 4, 5]",3.8128029154757193,1.380068122933599,4.725311431078722,1.663063728802128,0.0030283240465673205,0.0035893095862287528,0.0029155654414392642,2.6111484677487134e-64
psk02,dcf1130318779d9dd3937653db172579cc2f0734d52cb7f5bfa54d44d486f594,token-a7908ec9788483ca951e9612,k3_h1024_pad0,3,1024,0,6,352,"[0, 2, 5]",0.06261947183136213,0.02326256517090073,0.08550206542012877,0.02393342393334966,5.09028849367401e-05,6.042429379312434e-05,4.6405581179668566e-05,1.0
psk02,dcf1130318779d9dd3937653db172579cc2f0734d52cb7f5bfa54d44d486f594,token-a7908ec9788483ca951e9612,k3_h4096_pad0,3,4096,0,6,1376,"[1, 2, 5]",0.2481806736214558,0.08616307258263307,0.31761274281412333,0.10699726017109064,0.00019250988424177528,0.00022852566698871004,0.00018956324344543418,1.0
psk02,dcf1130318779d9dd3937653db172579cc2f0734d52cb7f5bfa54d44d486f594,token-a7908ec9788483ca951e9612,k3_h65536_pad0,3,65536,0,6,21856,"[1, 4, 5]",3.799144534462696,1.3934939374274975,4.6882063511577705,1.6822459608911715,0.003028053062688008,0.0035876088142508126,0.0029027456790489494,1.072133527438616e-63
psk03,42a15418139ebf90e6528cc1fbce8e3bfd24dc9ba1b01a624286077f29268acb,token-c20e1f4f1007183f5ebdfd25,k3_h1024_pad0,3,1024,0,6,352,"[0, 2, 5]",0.06585580451898448,0.022871517175167902,0.08482991197906159,0.026914598968604188,5.094761714793237e-05,6.0452361562444816e-05,5.021140027422488e-05,1.0
psk03,42a15418139ebf90e6528cc1fbce8e3bfd24dc9ba1b01a624286077f29268acb,token-c20e1f4f1007183f5ebdfd25,k3_h4096_pad0,3,4096,0,6,1376,"[1, 2, 5]",0.24645962156185294,0.0857409186875103,0.31497228140083705,0.10627087673712722,0.0001926679851158434,0.0002286318197511537,0.00018814358217533744,1.0
psk03,42a15418139ebf90e6528cc1fbce8e3bfd24dc9ba1b01a624286077f29268acb,token-c20e1f4f1007183f5ebdfd25,k3_h65536_pad0,3,65536,0,6,21856,"[1, 4, 5]",3.7527753306033773,1.3113302447086594,4.651625174542677,1.6056727671203193,0.003028143726379716,0.003589680426230091,0.002871314083493596,3.8003822971468797e-64
