hidden_bytes_B,k,segments_limit,mean_throughput_Bps,stdev_throughput_Bps,mean_post_qps,n_runs
1024,1,6,805.55,16.37,0.7853,3
1024,1,9,537.41,2.02,0.5237,3
1024,1,12,404.83,3.92,0.3947,3
1024,1,15,320.38,0.67,0.3123,3
4096,1,6,3222.48,30.08,0.7857,3
4096,1,9,750.98,38.55,0.183,3
4096,1,12,1588.7,9.07,0.387,3
4096,1,15,1171.48,23.41,0.2853,3
65536,1,6,18048.73,555.6,0.275,3
65536,1,9,11896.49,416.72,0.181,3
65536,1,12,25206.36,187.38,0.384,3
65536,1,15,20345.19,254.63,0.3097,3
