hidden_bytes_B,seg=6 (B/s),seg=9,seg=12,seg=15,seg9/6%,seg12/6%,seg15/6%
1024,805.55,537.41,404.83,320.38,66.7,50.3,39.8
4096,3222.48,750.98,1588.7,1171.48,23.3,49.3,36.4
65536,18048.73,11896.49,25206.36,20345.19,65.9,139.7,112.7
