hidden_bytes_B,k=1_mean,k=1_stdev,k=2_mean,k=2_stdev,k=3_mean,k=3_stdev,k=5_mean,k=5_stdev,n_runs_per_cell
1024,805.55,16.37,804.41,7.63,806.48,9.08,797.1,1.72,3
4096,3222.48,30.08,3237.48,22.82,1119.93,51.9,1077.71,14.59,3
65536,18048.73,555.6,45874.18,1605.36,45476.19,3165.46,45103.16,3378.47,3
