segments_limit,k=1,k=2,k=3,k=5
6,3222.48,3237.48,1119.93,1077.71
9,750.98,1197.27,2051.66,2022.75
12,1588.7,1560.75,1510.81,1393.44
15,1171.48,1155.6,755.98,609.07
