psk_run,psk_hex,link_token,config,k,hidden_bytes,pad_bytes,n_segments,g_bytes,chosen_indices,entropy_delta_pct_mean,entropy_delta_pct_stdev,gzip_ratio_delta_pct_mean,gzip_ratio_delta_pct_stdev,modified_ratio_mean,modified_ratio_max,ks_mean,chi2_homogeneity_p_min
psk01,32bd90f76be5237c778bcf7da3a4af14c9189ecba4758c147ebdbc8e6c7ffdcf,token-06e8f48ddd0c157a67aca010,k3_h1024_pad0,3,1024,0,6,352,"[0, 2, 5]",0.058789862859084635,0.033144869705182024,0.07489824158494703,0.04108652060141682,5.104367214159506e-05,6.0617081893677636e-05,4.502658717331354e-05,1.0
psk01,32bd90f76be5237c778bcf7da3a4af14c9189ecba4758c147ebdbc8e6c7ffdcf,token-06e8f48ddd0c157a67aca010,k3_h4096_pad0,3,4096,0,6,1376,"[1, 2, 5]",0.23509568495397318,0.11017675726884277,0.30121186290901353,0.13881706172312605,0.00019301460092378155,0.00022885495469330473,0.00017883452302615752,1.0
psk01,32bd90f76be5237c778bcf7da3a4af14c9189ecba4758c147ebdbc8e6c7ffdcf,token-06e8f48ddd0c157a67aca010,k3_h65536_pad0,3,65536,0,6,21856,"[1, 4, 5]",3.8128029154757193,1.380068122933599,4.725311431078722,1.663063728802128,0.0030283240465673205,0.0035893095862287528,0.0029155654414392642,2.6111484677487134e-64
