k,hidden_bytes,pad_bytes,n_psk_runs,psk_runs,modified_ratio_pct_mean,modified_ratio_pct_max,delta_H_pct_mean,delta_H_pct_stdev_of_runs,kl_stego_vs_cover_mean,js_cover_stego_mean,chi2_homogeneity_p_min_across_psk,chi2_homogeneity_p_max_across_psk
3,1024,0,1,psk01,0.0050890934519262285,0.006045236156244482,0.06552028161234087,0.0,6.507646015289439e-08,1.6262546883988107e-08,1.0,1.0
3,4096,0,1,psk01,0.019291674713331985,0.022888329323210214,0.24582490442121427,0.0,6.426740599618641e-07,1.6052146329970514e-07,1.0,1.0
3,65536,0,1,psk01,0.3028855822771057,0.359095673853302,2.919817851828755,0.0,9.697952442711825e-05,2.4009411563055873e-05,1.5577058118585285e-58,1.5577058118585285e-58
