psk_run,psk_hex,link_token,config,k,hidden_bytes,pad_bytes,n_segments,g_bytes,chosen_indices,entropy_delta_pct_mean,entropy_delta_pct_stdev,gzip_ratio_delta_pct_mean,gzip_ratio_delta_pct_stdev,modified_ratio_mean,modified_ratio_max,ks_mean,kl_stego_vs_cover_mean,kl_stego_vs_cover_max,js_cover_stego_mean,chi2_homogeneity_p_min
psk01,32bd90f76be5237c778bcf7da3a4af14c9189ecba4758c147ebdbc8e6c7ffdcf,token-06e8f48ddd0c157a67aca010,k3_h1024_pad0,3,1024,0,6,352,"[1, 3, 4]",0.06552028161234087,0.02271243700953845,0.08635713111312088,0.024699826263085103,5.089093451926228e-05,6.0452361562444816e-05,5.0084322344138656e-05,6.507646015289439e-08,9.901274033799206e-08,1.6262546883988107e-08,1.0
psk01,32bd90f76be5237c778bcf7da3a4af14c9189ecba4758c147ebdbc8e6c7ffdcf,token-06e8f48ddd0c157a67aca010,k3_h4096_pad0,3,4096,0,6,1376,"[1, 4, 5]",0.24582490442121427,0.0831032517756299,0.31421907654830245,0.1037728911343644,0.00019291674713331985,0.00022888329323210216,0.00018807932069988173,6.426740599618641e-07,9.712154871215862e-07,1.6052146329970514e-07,1.0
psk01,32bd90f76be5237c778bcf7da3a4af14c9189ecba4758c147ebdbc8e6c7ffdcf,token-06e8f48ddd0c157a67aca010,k3_h65536_pad0,3,65536,0,6,21856,"[1, 2, 4]",2.919817851828755,1.8268399121778454,3.597930193659362,2.2267667373736337,0.003028855822771057,0.0035909567385330196,0.002314784987299016,9.697952442711825e-05,0.0001965409001452725,2.4009411563055873e-05,1.5577058118585285e-58
