file_bytes,entropy_cover,entropy_stego,entropy_delta_pct,gzip_ratio_cover,gzip_ratio_stego,gzip_ratio_delta_pct,chi2_uniform_cover,chi2_uniform_stego,chi2_uniform_p_cover,chi2_uniform_p_stego,chi2_homogeneity_cover_vs_stego,chi2_homogeneity_p,chi2_homogeneity_active_bins,chi2_homogeneity_merged_bins,chi2_homogeneity_df,chi2_homogeneity_min_expected,ks_cover_vs_stego,ks_p,kl_stego_vs_cover,kl_cover_vs_stego,js_cover_stego,diff_variance,modified_ratio,window_n,window_entropy_delta_pct_mean,window_gzip_delta_pct_mean,window_modified_ratio_mean,window_kl_stego_vs_cover_mean,window_js_cover_stego_mean,config,filename,k,hidden_bytes,pad_bytes,psk_run,psk_hex
10754164,1.0149852888389481,1.0153802320054248,0.03891122076542427,0.06772548754138397,0.06776324035973415,0.0557438856783604,2309412432.935982,2309243292.0483437,0.0,0.0,0.1670885824721247,1.0,256,256,255,2007.0,3.347540543363614e-05,1.0,2.241944237910156e-08,2.2411173797067394e-08,5.603826678050039e-09,0.7566586954205932,3.403332885754764e-05,57203,0.17627189486314807,0.02389152084098153,3.403332885754764e-05,0.0013412097260992318,2.7622423878774424e-05,k3_h1024_pad0,hls_seg000.ts,3,1024,0,psk01,32bd90f76be5237c778bcf7da3a4af14c9189ecba4758c147ebdbc8e6c7ffdcf
6070896,0.8450959938239815,0.8458189238102879,0.08554412653587637,0.05812403968046891,0.058187621728324784,0.10939027673473405,1345091383.973708,1344919103.5783582,0.0,0.0,0.4164421839637636,1.0,256,256,255,721.0,5.9464039575019e-05,1.0,9.901274033799206e-08,9.891508704261995e-08,2.474096700381789e-08,1.279156677523184,6.0452361562444816e-05,32292,0.309667242962361,0.04232214377141913,6.0452361562444816e-05,0.002380807004138194,4.811731508997015e-05,k3_h1024_pad0,hls_seg001.ts,3,1024,0,psk01,32bd90f76be5237c778bcf7da3a4af14c9189ecba4758c147ebdbc8e6c7ffdcf
6071084,0.8162456976536696,0.8169692329873192,0.08864185572179806,0.055653158480429524,0.05571624441368296,0.11335553089160513,1352118008.176588,1351946715.4852507,0.0,0.0,0.4130830527890046,1.0,256,256,255,698.0,5.8968052492724965e-05,1.0,9.820936277717684e-08,9.811583244087845e-08,2.454063895844446e-08,1.3079684548123052,5.99563438753277e-05,32293,0.31016132813785396,0.04255021441408584,5.99563438753277e-05,0.002356591267965332,4.758438338788583e-05,k3_h1024_pad0,hls_seg002.ts,3,1024,0,psk01,32bd90f76be5237c778bcf7da3a4af14c9189ecba4758c147ebdbc8e6c7ffdcf
12147432,0.9700838251581972,0.9704358056106431,0.0362835090450548,0.06879100043531834,0.06883092656950045,0.05803976382004596,2631517566.597956,2631348153.663175,0.0,0.0,0.15334341562302148,1.0,256,256,255,1894.5,2.955357148737292e-05,1.0,1.8214996720005527e-08,1.8208802078818663e-08,4.552974607177906e-09,0.6566891366257945,3.004750304426483e-05,64614,0.15212783099385357,0.021151246891798474,3.0047503044264832e-05,0.0011858243126416463,2.4846542457119397e-05,k3_h1024_pad0,hls_seg003.ts,3,1024,0,psk01,32bd90f76be5237c778bcf7da3a4af14c9189ecba4758c147ebdbc8e6c7ffdcf
6072964,0.983847138311365,0.9845508892120942,0.0715305125486313,0.0698976644682893,0.06996287150722448,0.09328929576004472,1312264451.1534579,1312094320.3649786,0.0,0.0,0.3173624175481918,1.0,256,256,255,937.5,5.944379054445559e-05,1.0,7.541905604497347e-08,7.536642314376014e-08,1.884818055584216e-08,1.2988141996964195,6.043177598286438e-05,32303,0.3067971632220686,0.04253704219651654,6.043177598286438e-05,0.002370832387689162,5.088337477029801e-05,k3_h1024_pad0,hls_seg004.ts,3,1024,0,psk01,32bd90f76be5237c778bcf7da3a4af14c9189ecba4758c147ebdbc8e6c7ffdcf
6073716,0.9838627503892485,0.9845732022568298,0.07221046505726045,0.06990333430143919,0.06996507574605068,0.08832403379393508,1312419725.15648,1312249576.4443474,0.0,0.0,0.3248199035734394,1.0,256,256,255,947.5,5.960107453162333e-05,1.0,7.718316265811688e-08,7.71264264874658e-08,1.928869350059618e-08,1.3782452917289019,6.042429379312434e-05,32307,0.3062323575441114,0.04241713468815954,6.042429379312433e-05,0.0024041103547194614,5.0625510906712774e-05,k3_h1024_pad0,hls_seg005.ts,3,1024,0,psk01,32bd90f76be5237c778bcf7da3a4af14c9189ecba4758c147ebdbc8e6c7ffdcf
10754164,1.0149852888389481,1.016489437200214,0.14819410466397,0.06772548754138397,0.0678594821503559,0.19784960409483773,2309412432.935982,2308771104.104002,0.0,0.0,1.7428694179849389,1.0,256,256,255,2007.5,0.00012729952788526067,1.0,2.3391376599960482e-07,2.3370620023087347e-07,5.845247442509947e-08,2.8442372204008493,0.00012906628539419707,57203,0.6184980802778773,0.08831445644200218,0.00012906628539419707,0.005169587618057309,0.0001239779727598644,k3_h4096_pad0,hls_seg000.ts,3,4096,0,psk01,32bd90f76be5237c778bcf7da3a4af14c9189ecba4758c147ebdbc8e6c7ffdcf
6070896,0.8450959938239815,0.847691982556379,0.3071827048488202,0.05812403968046891,0.05834805933094555,0.3854165190653684,1345091383.973708,1344480510.4858572,0.0,0.0,3.84475653129783,1.0,256,256,255,724.0,0.00021298338828401597,1.0,9.146603455143228e-07,9.126922851979956e-07,2.2841861129951606e-07,4.852599614711954,0.00022830237908868806,32292,0.3576607882338601,0.1031826419329142,0.00022830237908868806,0.008708025037386111,0.00021061385644489968,k3_h4096_pad0,hls_seg001.ts,3,4096,0,psk01,32bd90f76be5237c778bcf7da3a4af14c9189ecba4758c147ebdbc8e6c7ffdcf
6071084,0.8162456976536696,0.8189969120329688,0.3370571369879956,0.055653158480429524,0.05588919540563102,0.4241213466518641,1352118008.176588,1351465905.1081572,0.0,0.0,4.0825130578213376,1.0,256,256,255,700.0,0.00022467157430205997,1.0,9.712154871215862e-07,9.690795076955374e-07,2.425363471365113e-07,4.929624335938621,0.0002284600246018668,32293,1.0956457382082672,0.15632329446468732,0.0002284600246018668,0.009089057125914343,0.000217755523855586,k3_h4096_pad0,hls_seg002.ts,3,4096,0,psk01,32bd90f76be5237c778bcf7da3a4af14c9189ecba4758c147ebdbc8e6c7ffdcf
12147432,0.9700838251581972,0.9714266259909587,0.1384211135097037,0.06879100043531834,0.06890946168704629,0.17220457760216626,2631517566.597956,2630873417.3669353,0.0,0.0,1.6469039560440066,1.0,256,256,255,1896.0,0.00011269871689745248,1.0,1.9567696782937572e-07,1.9551380087862664e-07,4.88988311288042e-08,2.4727514838196467,0.00011409818964205768,64614,0.5561799995355919,0.07898758324362681,0.00011409818964205768,0.004577418159001167,0.00010698756195313849,k3_h4096_pad0,hls_seg003.ts,3,4096,0,psk01,32bd90f76be5237c778bcf7da3a4af14c9189ecba4758c147ebdbc8e6c7ffdcf
